## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V9ER.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V9ER.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V9ER.sorted.bam --OUTPUT WR025V9ER.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	UNIQUE	26	46340122	4323516	12	1.092812	0.000526			
All Reads	UNIQUE	27	55002303	5105533	11	1.087241	0.000481			
All Reads	UNIQUE	28	63744555	5894248	11	1.083056	0.000446			
All Reads	UNIQUE	29	72264669	6655430	11	1.078737	0.000418			
All Reads	UNIQUE	30	80384070	7366235	11	1.07335	0.000395			
All Reads	UNIQUE	31	87952661	8023822	11	1.068558	0.000377			
All Reads	UNIQUE	32	94822082	8610796	11	1.063652	0.000362			
All Reads	UNIQUE	33	100924868	9111828	11	1.057482	0.00035			
All Reads	UNIQUE	34	106336042	9515664	11	1.048152	0.00034			
All Reads	UNIQUE	35	110981640	9817114	11	1.036092	0.000331			
All Reads	UNIQUE	36	114741834	9986363	10	1.019415	0.000323			
All Reads	UNIQUE	37	116830335	10004881	10	1.003048	0.000317			
All Reads	UNIQUE	38	116865262	9847737	10	0.986999	0.000315			
All Reads	UNIQUE	39	115033283	9563374	10	0.973763	0.000315			
All Reads	UNIQUE	40	111474303	9167863	10	0.963294	0.000318			
All Reads	UNIQUE	41	106285838	8697033	10	0.958432	0.000325			
All Reads	UNIQUE	42	100115791	8192119	10	0.958428	0.000335			
All Reads	UNIQUE	43	93766613	7711441	10	0.963281	0.000347			
All Reads	UNIQUE	44	88114092	7290050	10	0.96906	0.000359			
All Reads	UNIQUE	45	83608187	6932745	10	0.97123	0.000369			
All Reads	UNIQUE	46	80190507	6636197	10	0.969308	0.000376			
All Reads	UNIQUE	47	77498050	6392148	9	0.966099	0.000382			
All Reads	UNIQUE	48	74819675	6136582	9	0.960675	0.000388			
