## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V9WR.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V9WR.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V9WR.sorted.bam --OUTPUT WR025V9WR.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	UNIQUE	58	33606878	2513600	9	0.858629	0.000542			
All Reads	UNIQUE	59	29109921	2127735	9	0.839101	0.000575			
All Reads	UNIQUE	60	24599672	1743333	9	0.813558	0.000616			
All Reads	UNIQUE	61	20433567	1394855	9	0.783651	0.000664			
All Reads	UNIQUE	62	16876845	1104895	9	0.751566	0.000715			
All Reads	UNIQUE	63	13942437	872501	9	0.718397	0.000769			
All Reads	UNIQUE	64	11519972	690700	9	0.688297	0.000828			
All Reads	UNIQUE	65	9502746	544790	8	0.658139	0.000892			
All Reads	UNIQUE	66	7831353	428074	8	0.627508	0.000959			
All Reads	UNIQUE	67	6363395	334147	8	0.602818	0.001043			
All Reads	UNIQUE	68	5089284	258304	8	0.582656	0.001146			
All Reads	UNIQUE	69	4074158	198417	8	0.559086	0.001255			
All Reads	UNIQUE	70	3269564	153808	8	0.540041	0.001377			
All Reads	UNIQUE	71	2617980	118772	8	0.520817	0.001511			
All Reads	UNIQUE	72	2117944	91718	8	0.497139	0.001642			
All Reads	UNIQUE	73	1728380	72708	8	0.482926	0.001791			
All Reads	UNIQUE	74	1425788	58076	8	0.467605	0.00194			
All Reads	UNIQUE	75	1200072	47520	8	0.454576	0.002085			
All Reads	UNIQUE	76	1034915	38623	7	0.428429	0.00218			
All Reads	UNIQUE	77	911308	32188	7	0.405477	0.00226			
All Reads	UNIQUE	78	811087	26544	7	0.375696	0.002306			
All Reads	UNIQUE	79	708223	21549	7	0.349297	0.002379			
All Reads	UNIQUE	80	604166	17122	7	0.325339	0.002486			
All Reads	UNIQUE	81	508396	13154	7	0.297025	0.00259			
All Reads	UNIQUE	82	426951	10019	7	0.269391	0.002691			
All Reads	UNIQUE	83	351300	7513	7	0.245512	0.002832			
All Reads	UNIQUE	84	272651	5348	7	0.225176	0.003079			
All Reads	UNIQUE	85	197877	3658	7	0.21222	0.003509			
All Reads	UNIQUE	86	132088	2519	7	0.218929	0.004362			
All Reads	UNIQUE	87	86165	1820	7	0.242481	0.005684			
All Reads	UNIQUE	88	59409	1099	6	0.212365	0.006406			
All Reads	UNIQUE	89	38378	723	6	0.216269	0.008043			
All Reads	UNIQUE	90	25093	459	7	0.20999	0.009801			
All Reads	UNIQUE	91	16061	257	6	0.183695	0.011459			
All Reads	UNIQUE	92	9569	153	7	0.183553	0.014839			
All Reads	UNIQUE	93	6011	87	6	0.166154	0.017814			
All Reads	UNIQUE	94	3424	40	7	0.134111	0.021205			
All Reads	UNIQUE	95	1675	16	6	0.109659	0.027415			
All Reads	UNIQUE	96	986	5	7	0.058214	0.026034			
All Reads	UNIQUE	97	658	2	4	0.034893	0.024673			
All Reads	UNIQUE	98	328	3	1	0.104999	0.060621			
All Reads	UNIQUE	99	133	0	0	0	0			
All Reads	UNIQUE	100	339	0	0	0	0			


